ECID,dut,Speedo,Temp,Vmin,valid,Chip,Model,Pipe,Guess,Error
TSMC-U8C607-10_x4_y1,vrl-cs-bg-128,2076,35,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6660463248388188,0.00395367516118128
TSMC-U8C607-08_x1_y5,vrl-cs-bg-128,2117,35,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6641213762990316,0.005878623700968477
TSMC-U8C607-10_x4_y1,vrl-cs-bg-128,2076,0,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6767839099622981,-0.006783909962298051
TSMC-U8C607-08_x1_y5,vrl-cs-bg-128,2117,0,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6777038133865203,-0.017703813386520273
TSMC-U8C586-07_x6_y1,vrl-cs-sc-257,2029,105,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6639460044461001,-0.003946004446100049
TSMC-U8C586-07_x3_y2,vrl-cs-sc-257,2034,105,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6621576539970284,-0.002157653997028386
TSMC-U8C586-07_x6_y1,vrl-cs-sc-257,2029,70,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6650692618463381,-0.005069261846338047
TSMC-U8C586-07_x3_y2,vrl-cs-sc-257,2034,70,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6633547747488857,0.016645225251114337
TSMC-U8C586-07_x6_y1,vrl-cs-sc-257,2029,35,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6691453173948821,0.0008546826051178957
TSMC-U8C586-07_x3_y2,vrl-cs-sc-257,2034,35,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6680222453809235,0.001977754619076566
TSMC-U8C586-07_x6_y1,vrl-cs-sc-257,2029,0,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6761741710917326,0.003825828908267437
TSMC-U8C586-07_x3_y2,vrl-cs-sc-257,2034,0,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6761600658931416,0.003839934106858456
TSMC-U8C586-07_x4_y3,vrl-cs-bg-102,2045,105,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6603170756458823,-0.0003170756458822366
TSMC-U8C586-07_x3_y6,vrl-cs-bg-102,2049,105,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6596805799211283,0.00031942007887175716
TSMC-U8C586-07_x4_y3,vrl-cs-bg-102,2045,70,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6620709873207229,0.007929012679277148
TSMC-U8C586-07_x3_y6,vrl-cs-bg-102,2049,70,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6618940249328908,-0.0018940249328908143
TSMC-U8C586-07_x4_y3,vrl-cs-bg-137,2045,35,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.667028032088663,0.012971967911337035
TSMC-U8C586-07_x3_y6,vrl-cs-bg-137,2049,35,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6673138774956351,0.01268612250436496
TSMC-U8C586-07_x4_y3,vrl-cs-bg-137,2045,0,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.6751882099497022,0.014811790050297757
TSMC-U8C586-07_x3_y6,vrl-cs-bg-137,2049,0,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6759401376093611,0.004059862390638935
TSMC-U8C590-06_x4_y5,vrl-cs-sc-106,2167,105,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6365688268033562,0.023431173196643784
TSMC-U8C590-06_x3_y4,vrl-cs-sc-106,2154,105,0.64,good,GB100,QuadraticVMin,Only: valid = good,0.6412735446689308,-0.001273544668930815
TSMC-U8C590-06_x4_y5,vrl-cs-sc-106,2167,70,0.64,good,GB100,QuadraticVMin,Only: valid = good,0.64839127074474,-0.008391270744739998
TSMC-U8C590-06_x3_y4,vrl-cs-sc-106,2154,70,0.64,good,GB100,QuadraticVMin,Only: valid = good,0.6508135730884304,-0.01081357308843034
TSMC-U8C590-06_x4_y5,vrl-cs-sc-106,2167,35,0.65,good,GB100,QuadraticVMin,Only: valid = good,0.6625718775343223,-0.012571877534322318
